fileid|datesaved|posttitle|artist|song
648586|10/1/2008 9:52|TVD's Daily Wax|Wire|I 2 X U
648587|10/1/2008 9:53|Juliette|Juliette|Ribbon Of Darkness
648588|10/1/2008 9:53|Juliette|Juliette|Feelin Good
648589|10/1/2008 10:02|Juliette|Juliette|Honey On The Vine
648590|10/1/2008 10:04|Gentleman Auction House, Yea Big + Kid Static, Bookmobile - High Five|Yea Big and Kid Static|Eatchyo Samwich
648591|10/1/2008 10:05|Gentleman Auction House, Yea Big + Kid Static, Bookmobile - High Five|Gentleman Auction House|I Sleep In A Bed Of Scissor Arms
648592|10/1/2008 10:12|highlife|Various Artists|rexlawson
648593|10/1/2008 10:13|Michael Knight|Michael Knight|Coronation Street
648594|10/1/2008 10:13|Michael Knight|Michael Knight|Dumbshow
648595|10/1/2008 10:13|New songs, record from Austin’s best kept secret - Dana Falconberry|Dana Falconberry|do you
648596|10/1/2008 10:14|Daniel Martin Moore: &#8220;It&#8217;s You&#8221;|Daniel Martin Moore|It's You
648597|10/1/2008 10:15|White Label Wednesday: Cliff Richard, “We Don’t Talk Anymore”|Cliff Richards|We Don't Talk Anymore (Extended Mix)
648598|10/1/2008 10:27|Something is not right with me|Cold War Kids|Welcome To The Occupation (Live Session Version)
648599|10/1/2008 10:28|Arizona: Colors Mp3|Arizona|Colors
648600|10/1/2008 10:28|Something is not right with me|Cold War Kids|Something Is Not Right With Me (Live Session Version)
648601|10/1/2008 10:29|Alphawezen - Schwebcore Pop|Alphawezen|Gun Song (El Nio Weekend Version)
648602|10/1/2008 10:32|Alphawezen - Schwebcore Pop|Alphawezen|System2
648603|10/1/2008 10:32|Questionable Corner: Creaky Boards|Creaky Boards|The Songs I Didn't Write
648604|10/1/2008 10:33|Something is not right with me|Cold War Kids|Relief (Live Session Version)
648605|10/1/2008 10:33|Questionable Corner: Creaky Boards|Creaky Boards|Brooklyn
648606|10/1/2008 10:34|NEW MUSIC: the JIMMY CAKE||future
648607|10/1/2008 10:34|NEW MUSIC: the JIMMY CAKE|The Jimmy Cake|The Day The Arms That Came Out Of The Wall
648608|10/1/2008 10:35|Benoit Pioulard|Benoit Pioulard|A Woolgathering Exodus
648609|10/1/2008 10:35|Benoit Pioulard|Benoit Pioulard|Ahn
648610|10/1/2008 10:36|Smitten by Lykke Li|Lykke Li|Little Bit (Loving Hand Remix)
648611|10/1/2008 10:36|Tyken (ft. ADL) - Let It Rain (Trevor Loveys remix) + contest|Tyken feat ADL|Let It Rain (Trevor Loveys Remix)
648612|10/1/2008 10:36|SAMANTHA KITSUNE|Lo-Fi-Fnk|Want U
648613|10/1/2008 10:37|Monday Music Roundup, Tuesday edition|Whispertown 2000|Done With Love
648614|10/1/2008 10:37|Monday Music Roundup, Tuesday edition|Dear And The Headlights|Talk About
648615|10/1/2008 10:38|Brett Dennen makes us crazy|Brett Dennen|Make You Crazy feat. Femi Kuti
648616|10/1/2008 10:38|Easy Jamz! Mighty Mike does Commodores!|Mighty Mike|Not Easy Yet (Klaxons vs. The Commodores)
648617|10/1/2008 10:38|Haftanın takıntısı..|The Virgins|One Week Of Danger
648618|10/1/2008 10:39|New (old) music from Elvin Bishop|Elvin Bishop|Struttin' My Stuff
648619|10/1/2008 10:41|when i leave your arms / the things that i think of|The Avett Brothers|Murder in the City
648620|10/1/2008 11:11|Land Of Talk|Land Of Talk|Some Are Lakes
648621|10/1/2008 11:11|RFC Interview: Department of Eagles|Department Of Eagles|No One Does It Like You
648622|10/1/2008 11:12|failin' palin|Fleet Foxes/Wilco with Fleet Foxes|I Shall Be Released
648623|10/1/2008 11:12|Dropkick Murphys @ City Block - 11/22|Dropkick Murphys|Jailbreak
648624|10/1/2008 11:12|Dropkick Murphys @ City Block - 11/22|Dropkick Murphys|Jailbreak
648625|10/1/2008 11:13|Songs That Get My Juices Flowing #31|Death|Mutilation
648626|10/1/2008 11:14|Songs That Get My Juices Flowing #31|Mustasch|Double nature
648627|10/1/2008 11:14|Songs That Get My Juices Flowing #31|Machine Head|Alcoholocaust
648628|10/1/2008 11:15|Songs That Get My Juices Flowing #31|Dio|Holy diver
648629|10/1/2008 11:15|Songs That Get My Juices Flowing #31|Dismember|Europa burns
648630|10/1/2008 11:16|Matt and Kim Release New Song Thanks to Mountain Dew|Matt and Kim|Daylight
648631|10/1/2008 11:16|Matt and Kim Release New Song Thanks to Mountain Dew|The Cool Kids|Delivery Man
648632|10/1/2008 11:16|Lars, Lilly and Pablo meet Billie the Vision & the Dancers|Billie the Vision & The Dancers|Nightmares
648633|10/1/2008 11:17|Lars, Lilly and Pablo meet Billie the Vision & the Dancers|Billie The Vision & The Dancers|A Man From Argentina
648634|10/1/2008 11:17|Lars, Lilly and Pablo meet Billie the Vision & the Dancers|Billie The Vision & The Dancers|Nobel square
648635|10/1/2008 11:19|So you’re going to get fired from that radio station, huh?||WFYVAircheck
648636|10/1/2008 11:19|CONTEST: Win Oh Darling&#8217;s &#8220;Nice Nice&#8221; Album!|Oh Darling|Blindspot
648637|10/1/2008 11:20|Brian Jonestown Massacre and Spectrum at ATP|Silver Apples|Misty Mountain
648638|10/1/2008 11:20|Brian Jonestown Massacre and Spectrum at ATP|The Brian Jonestown Massacre|Here It Comes
648639|10/1/2008 11:20|Brian Jonestown Massacre and Spectrum at ATP|Spectrum|Live at ATP
648640|10/1/2008 11:21|Darker My Love [Feature Band]|Darker My Love|Two Ways Out
648641|10/1/2008 11:36|Sarah Siskind added as Bon Iver support European dates|Sarah Siskind|Lovin's For Fools
648642|10/1/2008 11:38|Cat Power 's Dark End of The Street|Cat Power|Peking Saint (Rollercoaster Project Remix)
648643|10/1/2008 11:39|R.I.P. Dirty Pretty Things|Dirty Pretty Things|Bang Bang Youre Dead
648644|10/1/2008 11:39|Cat Power 's Dark End of The Street|Cat Power|Metal Heart
648645|10/1/2008 11:40|The War Criminal Rises and Speaks|Okkervil River|The War Criminal Rises and Speaks
648646|10/1/2008 11:41|From - Thoughts?|From|One Spring Away
648647|10/1/2008 11:41|From - Thoughts?|From|American Girl
648648|10/1/2008 11:42|From - Thoughts?|From|Fall on Me
648649|10/1/2008 11:43|PHampton 3 678 9|Phish|The Sloth
648650|10/1/2008 11:44|The Kid|The Kid|I just wanna play punk like daddy did
648651|10/1/2008 11:44|EZ EPs II|Brandi Carlile|The Story
648652|10/1/2008 11:45|Tigers Can Bite You! arggh!|Tigers Can Bite You|Taking and Running Away
648653|10/1/2008 11:47|Winifred Snaggletooth|Andrew Phelan & Origami|The Box (The Fingermonsters Edit)
648654|10/1/2008 11:48|Winifred Snaggletooth|Andrew Phelan & Origami|The Box (Oldschool Edit)
648655|10/1/2008 11:48|PHampton 3 678 9|Phish|Boogie On Reggae Woman
648657|10/1/2008 11:49|Winifred Snaggletooth|Andrew Phelan & Origami|The Box (Original Edit)
648658|10/1/2008 11:50|Rock Sellout Exclusive: tapetheradio|TAPETHERADIO|Keep Talking
648659|10/1/2008 11:50|Listing Ship - A Hull Full of Oil and Bone|Listing Ship|Archaeologist
648660|10/1/2008 11:51|Listing Ship - A Hull Full of Oil and Bone|Listing Ship|Voice Of The Future
648661|10/1/2008 11:51|Listing Ship - A Hull Full of Oil and Bone|Listing Ship|A Sad State Of Confusion
648662|10/1/2008 11:52|the interview show: CR AVERY|CR`Avery|Hell Of A Hotel Of Harm
648663|10/1/2008 11:53|Sage Francis - Conspiracy To Riot (Prod. by Reanimator) / audio|conspiracy|to-riot
648664|10/1/2008 11:54|Quadrophonia - Quadrophonia (MALENTE Re-Edit)|Quadrophonia|Malente Re-Edit, Quadrophonia (Malente's Intro Re-Edit)
648665|10/1/2008 11:54|Quadrophonia - Quadrophonia (MALENTE Re-Edit)|Quadrophonia|Malente Re-Edit, Quadrophonia (Malente Re-Edit)
648666|10/1/2008 11:55|The Donkeys - Living On The Other Side|The Donkeys|Nice Train
648667|10/1/2008 12:13|L’amour sur le cadenas.|Kanye West|Love Lockdown (Flufftronix edit)
648668|10/1/2008 12:13|L’amour sur le cadenas.|Kanye West|Love Lockdown
648669|10/1/2008 12:17|With Select-O-Speed Doin’ All The Controllin’|Ford Motor Company|Tractor Drivin' Man
648670|10/1/2008 12:19|Remixes Galore & A Special Boys Noize Treat|DJ Alex Graham|Wind Up Vs. Shakedown
648671|10/1/2008 12:20|Remixes Galore & A Special Boys Noize Treat|FnDannyBoy|Together (FnParty Break)
648672|10/1/2008 12:21|Remixes Galore & A Special Boys Noize Treat|DJ Alex Graham|Wind Up Vs. Shakedown (Glitched Edit)
648673|10/1/2008 12:21|Remixes Galore & A Special Boys Noize Treat|FnDannyBoy|Move Your JrSr Feet (FnDBs Fat Guy Touch)
648674|10/1/2008 12:21|Remixes Galore & A Special Boys Noize Treat|Frankmusik & Boys Noize|When You're Around (Boys Noize Mix)
648675|10/1/2008 12:22|Remixes Galore & A Special Boys Noize Treat|Jackson Jackson|All Alone (Cutoff Remix)
648676|10/1/2008 12:22|Live: Celebrate THE CULTURE OF ME's birthday tomorrow in NYC!!!!|Daft Punk|Technologic (VDRK remix)
648677|10/1/2008 12:23|FRANKMUSIK vs. Boys Noize = ♥|FRANKMUSIK|When You're Around (Boys Noize Mix)
648678|10/1/2008 12:24|Frankmusik vs. Boysnoize|Frankmusik|01 When You're Around (boysnoize mix)
648679|10/1/2008 12:24|Kids At The Bar killin it again|Ultraviolet Sound|OCD (Kids At The Bar Remix)
648680|10/1/2008 12:25|Kids At The Bar killin it again|DATA|Rapture (Kids At The Bar Remix)
648681|10/1/2008 12:26|Kids At The Bar killin it again|DATA|Rapture (Kids At The Bar Remix)
648682|10/1/2008 12:26|[Recap] Best of September|City Center|Strait
648683|10/1/2008 12:27|[Recap] Best of September|TV On The Radio|Crying (Telepathe Remix) (Bonus Track)
648684|10/1/2008 12:27|Craigslist Musical Dedication Of The Day|Clem Snide|Alternative: Indie, Loneliness Finds Her Own Way
648685|10/1/2008 12:28|[Recap] Best of September|Kings Of Leon|Woo Hoo
648686|10/1/2008 12:29|[Recap] Best of September|Peter Bjorn And John|School Of Kraut
648687|10/1/2008 12:30|Live: Black Keys @ Sunset Junction|The Black Keys|She Said, She Said (Beatles cover)
648688|10/1/2008 12:31|BENI|Digitalism|Pogo (Beni's Re-Edit Re-Work Remix +)
648689|10/1/2008 12:32|Takka Takka|Takka Takka|Everybody Say
648690|10/1/2008 12:32|BENI|Beni|My Love Sees You
648691|10/1/2008 12:33|Takka Takka|Takka Takka|Silence
648692|10/1/2008 12:33|Takka Takka|Takka Takka|Silence
648693|10/1/2008 12:33|Department Of Eagles|Department Of Eagles|Classical Records
648694|10/1/2008 12:34|Department Of Eagles|Department Of Eagles|Phantom Other
648695|10/1/2008 12:34|Noah And The Whale|Noah And The Whale|5 Years Time
648696|10/1/2008 12:34|Noah And The Whale|Noah And The Whale|2 Atoms In A Molecule
648697|10/1/2008 12:35|Kanye West Moves Album Release To November|Kanye West|Love Lockdown
648698|10/1/2008 12:35|Sylvie Lewis|Sylvie Lewis|Starsong... What Became Of Us
648699|10/1/2008 12:35|Kanye West Moves Album Release To November|Kanye West v. MGMT|Electric Touch (Mighty Mi/Steve1der Mix)
648700|10/1/2008 12:36|Listening Booth: Lindsey Buckingham, “Gift of Screws”|Lindsey Buckingham|Great Day
648701|10/1/2008 12:36|Listening Booth: Lindsey Buckingham, “Gift of Screws”|Lindsey Buckingham|Love Runs Deeper
648702|10/1/2008 12:37|Listening Booth: 3rd Rail, “Between Eleven”|3rd Rail|Roses and Champagne
648703|10/1/2008 12:37|Listening Booth: 3rd Rail, “Between Eleven”|3rd Rail|And I You
648704|10/1/2008 12:39|Live: The Kills play Music Hall twice this week + new remix|The Kills|Last Day Of Magic (James Rutledge remix)
648705|10/1/2008 12:39|Deadbolt: Top 16 80’s Rappers|Afrika Bambaata|Planet Rock
648706|10/1/2008 12:41|Tone Poems|Silver Jews|Suffering Jukebox
648708|10/1/2008 12:41|Remix Wednesday: October Avalanche|The Avalanches|Run DNA
648709|10/1/2008 12:42|Remix Wednesday: October Avalanche|The Avalanches|Rock City
648710|10/1/2008 12:43|Remix Wednesday: October Avalanche|The Avalanches|Rolling High
648711|10/1/2008 12:44|Remix Wednesday: October Avalanche|The Avalanches|Untitled (Outro)
648712|10/1/2008 12:45|Remix Wednesday: October Avalanche|The Avalanches|Rap Fever
648713|10/1/2008 12:46|Remix Wednesday: October Avalanche|The Avalanches|Under Inspection
648714|10/1/2008 12:46|Brusha Brusha Brusha|dcfc|crookedteeth
648715|10/1/2008 12:47|There Must Be Something About You|Level 42|Leaving me now
648716|10/1/2008 12:47|Arctic house|Pryda|Evouh
648717|10/1/2008 12:48|There Must Be Something About You|Level 42|Something About You (US Remix)
648718|10/1/2008 12:49|There Must Be Something About You|Level 42|Something About You (Shep Pettibone Remix)
648719|10/1/2008 12:49|Stellastarr*|stellastarr*|In The Walls
648720|10/1/2008 12:49|Blog Names: Songs:Illinois|Songs: Ohia|I've Been Riding with the Ghost
648721|10/1/2008 12:49|Stellastarr*|Stellastarr*|Sweet Troubled Soul
648722|10/1/2008 12:50|Stellastarr*|stellastarr*|Lost In Time
648723|10/1/2008 12:50|PORTUGAL. THE MAN: CENSORED COLORS|Portugal. The Man|Lay Me Back Down
648724|10/1/2008 12:51|Phish Announces Reunion Tour|Phish|Slave to the Traffic Light (Live)
648725|10/1/2008 12:52|Phish Announces Reunion Tour|Phish|Sample in a Jar
648726|10/1/2008 12:53|I don't feel like dancin'|Scissor Sisters|I Don't Feel Like Dancin' (Teenage Bad Girl Remix)
648727|10/1/2008 12:53|TVD's Daily Wax|Wire|Surgeon's Girl
648728|10/1/2008 12:53|Do you remember?|Of Montreal|An Eluardian Instance
648729|10/1/2008 12:54|"The Teenagers go for Britney's Womanizer"""""|Britney Spears|Womanizer (The Teenagers Remix)
648730|10/1/2008 12:54|Goodtimes are Coming Back|Goodtimes Goodtimes|Get Ready
648731|10/1/2008 12:55|Goodtimes are Coming Back|Goodtimes Goodtimes|For All My Kingdom
648732|10/1/2008 12:55|Wax Stag|Wax Stag|Short Road (Metal On Metal Remix)
648733|10/1/2008 12:55|Goodtimes are Coming Back|Goodtimes Goodtimes|Let It Begin
648734|10/1/2008 12:56|NYC CD of the month: Department of Eagles|Slowlands|Eisenstein
648735|10/1/2008 13:03|Concert Review: Hot Chip, Sept 30, Kool Haus, Toronto|Hot Chip|And I Was a Boy from School
648736|10/1/2008 13:11|Please Play With Me|Peter Broderick|Games Again
648737|10/1/2008 13:12||Vampire Weekend|Ottoman
648738|10/1/2008 13:14|Quannum&#8217;s Curumin Releases &#8220;Sambito&#8221; off JapanPopShow|Curumin|Sambito
648739|10/1/2008 13:14|Ghostland Observatory at Stubb's|Ghostland Observatory|Rich Man
648740|10/1/2008 13:14||Marching Band|Letters
648741|10/1/2008 13:14|oxford collapse // bits|Half Man Half Biscuit|Four Skinny Indie Kids Drinking Weak Lager
648742|10/1/2008 13:15|oxford collapse // bits|Oxford Collapse|Electric Arc
648743|10/1/2008 13:15|Brainbow: Trance Figure|Brainbow|Trance Figure
648744|10/1/2008 13:15|oxford collapse // bits|Oxford Collapse|Back Of The Yards
648745|10/1/2008 13:16|Musik, Musik, Musik|The Soda Stream|Serenade
648746|10/1/2008 13:16|Musik, Musik, Musik|Girl Alliance|Jaded
648747|10/1/2008 13:17|Reviews:: Land of Talk Some are Lakes|Land of Talk|Corner Phone
648748|10/1/2008 13:17|Tonight - Black Kids & The Virgins at Webster Hall|Black Kids|I'm Not Gonna Teach Your Boyfriend How To Dance With You
648749|10/1/2008 13:53|Frankmusik - When You’re Around (Boys Noize Remix)|Frankmusik|When You're Around (Boys Noize Remix)
648750|10/1/2008 13:54|I Don&#8217;t Want A Boys Club|Alter Ego|Gary / Boys Club (Alter Ego Feat Product 01 Version)
648751|10/1/2008 13:54|the best band named after a gay weatherman i’ve heard in quite a while|Sam Champion|Jealous Shakes
648752|10/1/2008 13:55|the best band named after a gay weatherman i’ve heard in quite a while|Sam Champion|Dead Moon
648753|10/1/2008 13:56|CHRIS KNIGHT - HEART OF STONE OUTTAKES|Chris Knight|Everybodys Lonely Now Acoustic]
648754|10/1/2008 13:56|CHRIS KNIGHT - HEART OF STONE OUTTAKES|Chris Knight|Everybody's Lonely Now
648755|10/1/2008 13:57|Andreas Schulz is back!|Andycap|Barcelona (Original Mix)
648756|10/1/2008 13:57|CHRIS KNIGHT - HEART OF STONE OUTTAKES|Chris Knight|Almost There
648757|10/1/2008 13:57|CHRIS KNIGHT - HEART OF STONE OUTTAKES|Chris Knight|She Couldn't Change Me
648758|10/1/2008 13:58|CHRIS KNIGHT - HEART OF STONE OUTTAKES|Chris Knight|Almost There
648759|10/1/2008 13:59|Luomo - Love You All (ft. Sascha Ring from Apparat)|Luomo|Love You All (With Sascha Ring)
648760|10/1/2008 14:01| Seeing Sounds : Tiedye|Tiedye|Nothing Else Matters
648761|10/1/2008 14:02|All work and no play...|Marva Whitney|You Got To Have A Job (If You Don't Work-You Don't Eat)
648762|10/1/2008 14:02|New Katy Perry Video and George Harrison Remix|Self  Help|Got my Mind Set on You (Moneyshot Remix)
648763|10/1/2008 14:02|A Mix for Fall|Grizzly Bear|Plans
648764|10/1/2008 14:03|A Mix for Fall|TV On The Radio|Ambulances
648765|10/1/2008 14:04|A Mix for Fall|American Analog Set|Born On The Cusp (demo)
648766|10/1/2008 14:08|the coral - being somebody else (new video)|The Coral|Being Somebody Else
648767|10/1/2008 14:08|fleet foxes - he doesn't know why (video premiere)|Fleet Foxes|He Doesn't Know Why
648768|10/1/2008 14:09|snow patrol - take back the city (new video)|Snow Patrol|Take Back the City (Radio Edit)
648769|10/1/2008 14:09|katy perry - hot n cold (video premiere)|Katy Perry|Hot N Cold
648770|10/1/2008 14:09|100best: Kings Of Leon|Kings Of Leon|Mollys Chambers
648771|10/1/2008 14:09|100best: Kings Of Leon|KOL|HolyRollerNovocaine
648772|10/1/2008 14:10|MAD DECENT TOUR! DIPLO, ABE VIGODA, BOY 8-BIT, TELEPATHE!|Dead Prez|Hip Hop (Diplo Remix)
648773|10/1/2008 14:11|MAD DECENT TOUR! DIPLO, ABE VIGODA, BOY 8-BIT, TELEPATHE!|Bart Bmore|Bingo Players Get Up (Diplo Remix)
648774|10/1/2008 14:12|100best: Kings Of Leon|Kings Of Leon|Trani
648775|10/1/2008 14:12|"New Marnie Stern - Transformer"" (Plus: ""Transformer"" Video)"""|Marnie Stern|Transformer
648776|10/1/2008 14:12|Tours: Casiotone For The Painfully Alone|Casiotone For The Painfully Alone|Lonesome New Mexico Nights
648777|10/1/2008 14:13|Twisted Wheel|Twisted Wheel|She's A Weapon (album version)
648778|10/1/2008 14:13|Tours: Casiotone For The Painfully Alone|Casiotone For The Painfully Alone|Young Shields
648779|10/1/2008 14:13|Tours: Casiotone For The Painfully Alone|Casiotone For The Painfully Alone|Graceland
648780|10/1/2008 14:14|A Mix for Fall|Broken Social Scene|Pitter Patter Goes My Heart
648781|10/1/2008 14:14|A Mix for Fall|Midlake|Branches
648782|10/1/2008 14:14|A Mix for Fall|My Morning Jacket|Where To Begin
648783|10/1/2008 14:15|A Mix for Fall|Okkervil River|In A Radio Song
648784|10/1/2008 14:16|A Mix for Fall|Lullaby for the Working Class|Asleep on the subway
648785|10/1/2008 14:16|KIDDA|Kidda|Under The Sun
648786|10/1/2008 14:22|CHOKE OST features new and rare tracks|Nicole Atkins|Crystal Ship
648787|10/1/2008 14:23|CHOKE OST features new and rare tracks|Blitzen Topper|Wicked
648788|10/1/2008 14:25|Quit Your Day Job: Midlake|Matthew and the Arrogant Sea|Pretty Purple Top Hat
648789|10/1/2008 14:25|The Wonderful World of Music (MP3s)|Robert R. Way|The Man in the Blue Blazer
648790|10/1/2008 14:25|The Wonderful World of Music (MP3s)|Robert R. Way|The Good Doctor
648791|10/1/2008 14:26|The Wonderful World of Music (MP3s)|Robert R. Way|News Room
648792|10/1/2008 14:26|The Wonderful World of Music (MP3s)|Robert R. Way|Nightwatch
648793|10/1/2008 14:26|The Wonderful World of Music (MP3s)|Robert R. Way|The Irsihman
648794|10/1/2008 14:26|The Wonderful World of Music (MP3s)|Robert R. Way|It's Easy
648795|10/1/2008 14:27|The Wonderful World of Music (MP3s)|Robert R. Way|On the Air!
648796|10/1/2008 14:27|The Wonderful World of Music (MP3s)|Robert R. Way|The Wonderful World of Music
648797|10/1/2008 14:27|The Wonderful World of Music (MP3s)|Robert R. Way|Boutonierre
648798|10/1/2008 14:28|The Wonderful World of Music (MP3s)|Robert R. Way|Park Square
648799|10/1/2008 14:28|The Wonderful World of Music (MP3s)|Robert R. Way|Account Exec's
648800|10/1/2008 14:29|David Holmes - I Heard Wonders|David Holmes|I Heard Wonders
648801|10/1/2008 14:29|The Wonderful World of Music (MP3s)|Robert R. Way|Windows on the Square
648802|10/1/2008 14:30|Netaudio Tip: Thomas Wincek - Extended Techniques|Thomas Wincek|Fender Rhodes Piano
648803|10/1/2008 14:31|The Music Slut Wishes You A Happy World Vegetarian Day!|The Smiths|Meat Is Murder
648804|10/1/2008 14:31|Netaudio Tip: Thomas Wincek - Extended Techniques|Thomas Wincek|Acoustic Guitar
648805|10/1/2008 14:32|Word for the Week: Idle|Oasis|The Importance of Being Idle
648806|10/1/2008 14:32|Word for the Week: Idle|Shannon Wright|Idle Hands
648807|10/1/2008 14:33|Word for the Week: Idle|The Murder City Devils|Idle Hands
648808|10/1/2008 14:33|Word for the Week: Idle|The Replacements|Shiftless When Idle (2006 Remastered Version)
648809|10/1/2008 14:34|The dark side of the moog - the boxing lesson|The Boxing Lesson|Brighter
648810|10/1/2008 14:35|radiohead :: reckoner (cadence weapon remix)||reckonercadenceweapon
648811|10/1/2008 14:38|New Britney - Womanizer (The Teenagers Remix)|Britney Spears|Womanizer (The Teenagers Remix)
648812|10/1/2008 14:42|The Flying Change Cover LCD Soundsystem|all|my-friends
648813|10/1/2008 14:46|Your chance to own The Superimposers 1st ever Omni chord|The Superimposers|Make It All Better (Omni Chord mono Instrumental)
648814|10/1/2008 14:59|Rollo & Grady // Austin City Limits Recap|Band Of Horses|The End's Not Near
648815|10/1/2008 15:00|Rollo & Grady // Austin City Limits Recap|Shooter Jennings|Put The O Back In Country
648816|10/1/2008 15:00|Rollo & Grady // Austin City Limits Recap|Danger Mouse|99 Problems (The Grey Album)
648817|10/1/2008 15:01|Goodtimes Goodtimes|Goodtimes Goodtimes|Darlin'
648818|10/1/2008 15:01|Goodtimes Goodtimes|Goodtimes Goodtimes|For All My Kingdom
648819|10/1/2008 15:02|Rollo & Grady // Austin City Limits Recap|The Black Keys|10 A.M. Automatic (Live)
648820|10/1/2008 15:02|Rollo & Grady // Austin City Limits Recap|Iron and Wine With Calexico|Wild Horses (Stones Cover)
648821|10/1/2008 15:02|New Pete Doherty - 'Gracewasteland/s'|Pete Doherty|Gracewasteland/s
648822|10/1/2008 15:03|Monolith Music Fest: Sunday - September 14, 2008 and Avett Brothers Interview||The Avett Brothers Monolith Interview (Part 2 of 2) - Consequence of Sound (c) 2008
648823|10/1/2008 15:04|Benefit Concert at Union Hall on Saturday October 4 Featuring Motel Motel and The Go Station|The GoStation|Not Enough
648824|10/1/2008 15:04|Mid Week Massive....|The Count & Sinden|Hardcore Girls [featuring Rye Rye] (Don Rimini Nasty Boy Mix)
648825|10/1/2008 15:05|Mid Week Massive....|Jackson Jackson|All Alone (Cutoff Remix)
648826|10/1/2008 15:05|Mid Week Massive....|Tyken feat ADL|Let It Rain (Trevor Loveys Remix)
648827|10/1/2008 15:07|Ticket Giveaway: The Morning Benders’ Homecoming Show at the Rickshaw Stop|the morning benders|crosseyed
648828|10/1/2008 15:14|Porter Block: Off Our Shoulders|Porter Block|Lonely Levon
648829|10/1/2008 15:15|Musik, Musik, Musik|Soda Fountain Rag|The Year I'm 17
648830|10/1/2008 15:15|Musik, Musik, Musik|Soda Fountain Rag|I laugh myself to sleep
648831|10/1/2008 15:16|Musik, Musik, Musik|Soda Fountain Rag|Don't Kill the Clowns
648832|10/1/2008 15:17||Mark Mendes|Straight Away
648833|10/1/2008 15:17|circa il était une fois|Skatebard|Skatebard Loves You
648834|10/1/2008 15:17|The Polysics: We Ate the Machine|POLYSICS|DNA Junction
648835|10/1/2008 15:29|Lemon Crush|The Kills|Last Day Of Magic (James Rutledge Remix)
648836|10/1/2008 15:30|God Warrior Of The Week (Pssst…You can win a date with him!)|Disaster Experiment|1777263
648838|10/1/2008 15:31|God Warrior Of The Week (Pssst…You can win a date with him!)||1791175
648841|10/1/2008 15:32|Sword Saturday|The Sword|Maiden, Mother and Crone
648842|10/1/2008 15:33|QC FIRST LISTEN: WHO KILLED HARRY HOUDINI|I'm From Barcelona|Gunhild
648843|10/1/2008 15:33|Sword Saturday|The Sword|The Sundering
648844|10/1/2008 15:33|QC FIRST LISTEN: WHO KILLED HARRY HOUDINI|I'm From Barcelona|Ophelia
648845|10/1/2008 15:34|"New Katy Perry Hot N Cold"" video + remix"""|Katy Perry|Hot N Cold (Mia Moretti Remix)
648846|10/1/2008 15:35|Wild Salmon Wednesdays?|Mowgli vs Chemical Brothers|Club Salmon (Mark Starrs Fresh Alaskan Salmon In a Piquant Dill Sauce Mashup)
648847|10/1/2008 15:35|1983|Pryda|Rafunk (Paolo Mojo's Back To 1983 Remix)
648848|10/1/2008 15:36|The Legends [Feature Band]|The Legends|Seconds Away
648849|10/1/2008 15:37|A Couple Of Follow-Ups For Little Boots||Fine Boots
648850|10/1/2008 15:38|Tom Morello Releases Solo Album - Announces Tour Dates|Tom Morello The Nightwatchman|Saint Isabelle
648851|10/1/2008 15:38|Blog Names: Aquarium Drunkard|Wilco|I Am Trying To Break Your Heart
648852|10/1/2008 15:39|"Shred Yr Face limited edition 7 + in-store shows"""|No Age|Eraser
648853|10/1/2008 15:39|"Shred Yr Face limited edition 7 + in-store shows"""|Times New Viking|Call and Respond
648854|10/1/2008 15:40|Halloween Countdown: October 1 - and other things that go bump in the night|Ministry|(Everyday Is) Halloween
648855|10/1/2008 15:43|Dedo asesino de virus|Beck|Debra
648856|10/1/2008 15:44|Travis - Something Anything|Travis|Something Anything
648857|10/1/2008 15:45|Sheltered In Sound - Falling Stars|Sheltered in Sound|Requiem in A flat minor
648858|10/1/2008 15:47|Debut single for Sydney band Cassette Kids|Cassette Kids|You Take It
648859|10/1/2008 15:50|#86 the legends - seconds away|The Legends|Seconds away
648860|10/1/2008 15:50|Sidechains|sidechains- 03|dr. funk
648861|10/1/2008 15:50|Sidechains|sidechains- 02|turn your body on
648862|10/1/2008 15:51|Awkward?|The Western States Motel|Oh World
648863|10/1/2008 15:51|THOMAS FUNCTION PLAYS LIVE IN FRONT OF SAILOR JERRY THIS SATURDAY 10/4!!!|Thomas Function|Snake In The Grass
648864|10/1/2008 15:52|New York Magazine Celebrates 40 with Grizzly Bear and The National|Grizzly Bear|Knife (Girl Talk Remix)
648865|10/1/2008 15:52|Awkward?|Ernie Gaines Ft T.I|Sip It
648866|10/1/2008 15:53|Blood Red Dancers are Devils in the Emerald City.|Blood Red Dancers|sweetie's gettin' mobbed
648867|10/1/2008 15:53|Awkward?|Klaxons|Gravity's Rainbow (Guns 'n' Bombs Remix)
648868|10/1/2008 16:14|Hippies Rejoice – Phish Reunites!|Phish|My Friend, My Friend
648869|10/1/2008 16:15|Hippies Rejoice – Phish Reunites!|Phish|Silent In The Morning
648870|10/1/2008 16:36|Picking with the kinfolk|Fionn Regan|Noah (Ghost In A Sheet)
648871|10/1/2008 16:37|Picking with the kinfolk|Ronald Binge|Ronald Binge - Sailing by
648872|10/1/2008 16:37|Picking with the kinfolk|Fleet Foxes|Oliver James
648873|10/1/2008 16:38|Picking with the kinfolk|Jesse Malin|Aftermath
