ssnumber|songid|post_title|song_artist|song_title
D61746527975|16098003|STREET DANCER|AVICII|STREET DANCER
D61746527975|15491971|MALO|AVICII|MALO
D69463009842|6955274|RUNNING UP THAT HILL|CHROMATICS|RUNNING UP THAT HILL
D69463009842|6955279|TICK OF THE CLOCK|CHROMATICS|TICK OF THE CLOCK
D69463009842|6955272|NIGHT DRIVE|CHROMATICS [4]|NIGHT DRIVE
D80139760076|12962807|RAMBLING MAN|LAURA MARLING|RAMBLING MAN
D80139760076|12782652|DEVIL'S SPOKE|LAURA MARLING|DEVIL'S SPOKE
D80139760076|12251118|GOODBYE ENGLAND|LAURA MARLING|GOODBYE ENGLAND
D81242901422|11747803|SI TE VAS/QUE TENGO QUE HACER|OMEGA|SI TE VAS/QUE TENGO QUE HACER
D81242901422|14826982|DANDOLE|GOCHO FEAT. OMEGA|DANDOLE
D81242901422|11197523|MERENGUE ELECTRONICO|OMEGA|MERENGUE ELECTRONICO
D82539602412|17600520|HAVEN'T HAD ENOUGH|MARIANAS TRENCH|HAVEN'T HAD ENOUGH
D82539602412|18644481|FALLOUT|MARIANAS TRENCH|FALLOUT
D82539602412|18688823|DESPERATE MEASURES|MARIANAS TRENCH|DESPERATE MEASURES
D85970591236|15794875|SAFE AND SOUND|CAPITAL CITIES|SAFE AND SOUND
D85970591236|17187217|LOVE AWAY|CAPITAL CITIES|LOVE AWAY
D85970591236|17187216|CENTER STAGE|CAPITAL CITIES|CENTER STAGE
D88088216685|10671246|ONE RED THREAD|BLIND PILOT|ONE RED THREAD
D88088216685|10671834|3 ROUNDS AND A SOUND|BLIND PILOT|3 ROUNDS AND A SOUND
D88088216685|10671243|THE STORY I HEARD|BLIND PILOT|THE STORY I HEARD
D88678813775|309266|SANDSTORM|DARUDE|SANDSTORM
D88678813775|12723965|WOO BOOST|RUSKO|WOO BOOST
D88678813775|16096520|SATISFACTION|TEARS OF THE WOLF|SATISFACTION
E03111932125|17785335|KING PARK|LA DISPUTE|KING PARK
E03111932125|17785339|ALL OUR BRUISED BODIES AND THE|LA DISPUTE|ALL OUR BRUISED BODIES AND THE
E03111932125|17785333|THE MOST BEAUTIFUL BITTER FRUI|LA DISPUTE|THE MOST BEAUTIFUL BITTER FRUI
T00760085039|17331244|EVERYTHING GOOD|ASHES REMAIN|EVERYTHING GOOD
T00760085039|17676337|ON MY OWN|ASHES REMAIN|ON MY OWN
T00760085039|17676343|CHANGE MY LIFE|ASHES REMAIN|CHANGE MY LIFE
T02346010157|1638841|LET GO|LINDSAY MCCAUL|LET GO
T02346010157|17774608|TAKE MY HAND|LINDSAY MCCAUL|TAKE MY HAND
T02346010157|17774607|SAY MY NAME|LINDSAY MCCAUL|SAY MY NAME
T36217015996|17604952|AT YOUR NAME (YAHWEH, YAHWEH)|PHIL WICKHAM|AT YOUR NAME (YAHWEH, YAHWEH)
T36217015996|18003168|HEAVEN FALL DOWN|PHIL WICKHAM|HEAVEN FALL DOWN
T36217015996|18003171|THIS IS THE DAY|PHIL WICKHAM|THIS IS THE DAY
T59708061295|16479010|PUT YOUR LOVE GLASSES ON|BECKAH SHAE|PUT YOUR LOVE GLASSES ON
T59708061295|17604843|MUSIC|BECKAH SHAE|MUSIC
T59708061295|15188630|GOLD|BECKAH SHAE|GOLD
000750433275|9859224|MI CAMA HUELE A TI|TITO EL BAMBINO FEAT. ZION|MI CAMA HUELE A TI
000750433275|11749390|QUE BUENA TU TA|FUEGO|QUE BUENA TU TA
000750433275|13487938|LA VIDA ES ASí|IVY QUEEN|LA VIDA ES ASí
000750433428|16706555|DI QUE REGRESARAS|LA ORIGINAL BANDA EL LIMON|DI QUE REGRESARAS
000750433428|17059311|EL MEJOR PERFUME|LA ORIGINAL BANDA EL LIMON DE|EL MEJOR PERFUME
000750433428|17059374|EL PRIMER LUGAR|LA ORIGINAL BANDA EL LIMON DE|EL PRIMER LUGAR
000750533594|13767623|ME DUELE|ROBERTO TAPIA|ME DUELE
000750533594|12928292|LA MARIA|JULION ALVAREZ|LA MARIA
000750533594|14090050|EL CULPABLE|ESPINOZA PAZ|EL CULPABLE
000750733594|12724108|TE RECORDARE|EL TRONO DE MEXICO|TE RECORDARE
000750733594|13868447|MI NECESIDAD|GRUPO MONTEZ DE DURANGO|MI NECESIDAD
000750733594|16377668|EL PUNTO FINAL|CONJUNTO ATARDECER|EL PUNTO FINAL
000750833594|14090050|EL CULPABLE|ESPINOZA PAZ|EL CULPABLE
000750833594|16314951|EL MIL AMORES|PESADO|EL MIL AMORES
000750833594|13109235|TE ODIO Y TE AMO|DUELO|TE ODIO Y TE AMO
000750933494|16247091|OLVIDAME|JULION Y SU NORTENO BANDA ALVAREZ|OLVIDAME
000750933494|14625175|ME ENCANTARíA|FIDEL RUEDA|ME ENCANTARíA
000750933494|15919389|EL ARDIDO|LARRY HERNANDEZ|EL ARDIDO
000750933594|16247091|OLVIDAME|JULION Y SU NORTENO BANDA ALVAREZ|OLVIDAME
000750933594|14090192|ADONDE VAMOS A PARAR|MARCO ANTONIO SOLIS|ADONDE VAMOS A PARAR
000750933594|15919396|EL TIERNO SE FUE|CALIBRE 50|EL TIERNO SE FUE
001090210669|16769707|LITTLE HELL|CITY AND COLOUR|LITTLE HELL
001090210669|16523627|FRAGILE BIRD|CITY AND COLOUR|FRAGILE BIRD
001090210669|16769710|WE FOUND EACH OTHER IN THE DARK|CITY AND COLOUR|WE FOUND EACH OTHER IN THE DARK
001090210681|17655333|HANGING ON|ACTIVE CHILD|HANGING ON
001090210681|17321266|PLAYING HOUSE|ACTIVE CHILD|PLAYING HOUSE
001090210681|17655347|YOU ARE ALL I SEE|ACTIVE CHILD|YOU ARE ALL I SEE
001090210685|17789919|WORDS IN THE WATER|THRICE|WORDS IN THE WATER
001090210685|17789928|ANTHOLOGY|THRICE|ANTHOLOGY
001090210685|17789972|YELLOW BELLY|THRICE|YELLOW BELLY
001470221671|16247091|OLVIDAME|JULION Y SU NORTENO BANDA ALVAREZ|OLVIDAME
001470221671|13487837|NI LO INTENTES|JULION Y SU NORTENO BA ALVAREZ|NI LO INTENTES
001470221671|10089644|Y TU|JULION Y SU NORTENO BANDA ALVAREZ|Y TU
001500213299|17599715|WHAT YOU WANT|EVANESCENCE|WHAT YOU WANT
001500213299|18038003|MY HEART IS BROKEN|EVANESCENCE|MY HEART IS BROKEN
001500213299|18038029|LOST IN PARADISE|EVANESCENCE|LOST IN PARADISE
002340210158|15905602|CAN'T GET OVER YOU|ANTHEM LIGHTS|CAN'T GET OVER YOU
002340210158|15905601|CAN'T SHUT UP|ANTHEM LIGHTS|CAN'T SHUT UP
002340210158|16259110|OUTTA MY MIND|ANTHEM LIGHTS|OUTTA MY MIND
002520076681|7661680|TRAIN|3 DOORS DOWN|TRAIN
002520076681|15919360|WHEN YOU'RE YOUNG|3 DOORS DOWN|WHEN YOU'RE YOUNG
002520076681|16916748|EVERY TIME YOU GO|3 DOORS DOWN|EVERY TIME YOU GO
002520078121|17830356|HOW COME YOU NEVER GO THERE|FEIST|HOW COME YOU NEVER GO THERE
002520078121|17907917|THE BAD IN EACH OTHER|FEIST|THE BAD IN EACH OTHER
002520078121|17907918|CAUGHT A LONG WIND|FEIST|CAUGHT A LONG WIND
002520078326|18408489|WEENIE RIDE|STEEL PANTHER|WEENIE RIDE
002520078326|18224675|17 GIRLS IN A ROW|STEEL PANTHER|17 GIRLS IN A ROW
002520078326|18408633|IT WON'T SUCK ITSELF|STEEL PANTHER|IT WON'T SUCK ITSELF
002520176471|897698|ON THE ROAD AGAIN|WILLIE NELSON|ON THE ROAD AGAIN
002520176471|482787|FUNNY HOW TIME SLIPS AWAY|WILLIE NELSON|FUNNY HOW TIME SLIPS AWAY
002520176471|3148035|MENDOCINO COUNTY LINE|WILLIE NELSON|MENDOCINO COUNTY LINE
002520176770|1642859|HELLO DARLIN'|CONWAY TWITTY|HELLO DARLIN'
002520176770|3201149|I'D  LOVE TO LAY YOU DOWN|CONWAY TWITTY|I'D  LOVE TO LAY YOU DOWN
002520176770|4488904|IT'S ONLY MAKE BELIEVE|CONWAY TWITTY|IT'S ONLY MAKE BELIEVE
002520276924|15562158|I JUST HAD SEX|LONELY ISLAND FEAT. AKON|I JUST HAD SEX
002520276924|16822410|JACK SPARROW|LONELY ISLAND FEAT. MICHAEL BOLTON|JACK SPARROW
002520276924|15983434|THE CREEP|THE LONELY ISLAND FEAT. NICKI MINAJ |THE CREEP
002520277115|16866054|SHOTGUN|LIMP BIZKIT|SHOTGUN
002520277115|17131820|GOLD COBRA|LIMP BIZKIT|GOLD COBRA
002520277115|17131847|BRING IT BACK|LIMP BIZKIT|BRING IT BACK
002520277243|16769850|FALLEN ANGELS|BLACK VEIL BRIDES|FALLEN ANGELS
002520277243|16916761|REBEL LOVE SONG|BLACK VEIL BRIDES|REBEL LOVE SONG
002520277243|16916697|THE LEGACY|BLACK VEIL BRIDES|THE LEGACY
002520278326|18593997|THE MOTTO|DRAKE FEAT. LIL WAYNE|THE MOTTO
002520278326|18594125|TAKE CARE|DRAKE FEAT. RIHANNA|TAKE CARE
002520278326|17722181|HEADLINES|DRAKE|HEADLINES
002520278704|18110365|SHAKE IT OUT|FLORENCE + THE MACHINE|SHAKE IT OUT
002520278704|18283618|NO LIGHT, NO LIGHT|FLORENCE + THE MACHINE|NO LIGHT, NO LIGHT
002520278704|17907774|WHAT THE WATER GAVE ME|FLORENCE + THE MACHINE|WHAT THE WATER GAVE ME
002520374324|14742390|1000 FACES|RANDY MONTANA|1000 FACES
002520374324|12991463|AIN'T MUCH LEFT OF LOVIN' YOU|RANDY MONTANA|AIN'T MUCH LEFT OF LOVIN' YOU
002520374324|17179559|BACK OF MY HEART|RANDY MONTANA|BACK OF MY HEART
002520376425|15562619|LOOK IT UP|ASHTON SHEPHERD|LOOK IT UP
002520376425|16314818|WHERE COUNTRY GROWS|ASHTON SHEPHERD|WHERE COUNTRY GROWS
002520376425|16314824|BEER ON A BOAT|ASHTON SHEPHERD|BEER ON A BOAT
002520378557|18486515|IN THE MORNING|JACK JOHNSON|IN THE MORNING
002520378557|19894648|ANGEL (HOLIDAY)|JACK JOHNSON|ANGEL (HOLIDAY)
002520378557|18486819|JINGLE BELL ROCK|ROGUE WAVE|JINGLE BELL ROCK
002520476365|16149874|CONTACT HIGH|ARCHITECTURE IN HELSINKI|CONTACT HIGH
002520476365|9261781|THAT BEEP|ARCHITECTURE IN HELSINKI|THAT BEEP
002520476365|16401878|ESCAPEE|ARCHITECTURE IN HELSINKI|ESCAPEE
002520476780|4552926|I'M SO LONESOME I COULD CRY|HANK WILLIAMS|I'M SO LONESOME I COULD CRY
002520476780|3991368|YOUR CHEATIN' HEART|HANK WILLIAMS|YOUR CHEATIN' HEART
002520476780|3216262|HEY, GOOD LOOKIN'|HANK WILLIAMS|HEY, GOOD LOOKIN'
002520477231|15801998|PARTY ROCK ANTHEM|LMFAO FEAT. LAUREN BENNETT & GOONROCK|PARTY ROCK ANTHEM
002520477231|17059556|SEXY AND I KNOW IT|LMFAO|SEXY AND I KNOW IT
002520477231|17059422|SORRY FOR PARTY ROCKING|LMFAO|SORRY FOR PARTY ROCKING
002520477792|80592|TOM SAWYER|RUSH|TOM SAWYER
002520477792|80604|LIMELIGHT|RUSH|LIMELIGHT
002520477792|80590|THE SPIRIT OF RADIO|RUSH|THE SPIRIT OF RADIO
002520478139|17586391|UP ALL NIGHT|BLINK-182|UP ALL NIGHT
002520478139|17970809|AFTER MIDNIGHT|BLINK-182|AFTER MIDNIGHT
002520478139|17970731|GHOST ON THE DANCE FLOOR|BLINK-182|GHOST ON THE DANCE FLOOR
002520478151|2469052|THAT'LL BE THE DAY|LINDA RONSTADT|THAT'LL BE THE DAY
002520478151|17907713|NOT FADE AWAY|STEVIE NICKS|NOT FADE AWAY
002520478151|17907920|IT’S SO EASY|ZOOEY DESCHANEL|IT’S SO EASY
002520478328|17649971|WEPA|GLORIA ESTEFAN|WEPA
002520478328|18037791|HOTEL NACIONAL|GLORIA ESTEFAN|HOTEL NACIONAL
002520478328|17970692|MISS LITTLE HAVANA|GLORIA ESTEFAN|MISS LITTLE HAVANA
002520676936|1422336|THE NEDEN GAME|INSANE CLOWN POSSE|THE NEDEN GAME
002520676936|3150422|BOOGIE WOOGIE WU|INSANE CLOWN POSSE|BOOGIE WOOGIE WU
002520676936|3150415|HOKUS POKUS|INSANE CLOWN POSSE|HOKUS POKUS
002520676946|17083729|MIAMI SHOWDOWN|DIGITALISM|MIAMI SHOWDOWN
002520676946|17083724|CIRCLES|DIGITALISM|CIRCLES
002520676946|16663012|2 HEARTS|DIGITALISM|2 HEARTS
002520678507|15923260|LET IT RAIN|DAVID NAIL|LET IT RAIN
002520678507|18408420|THE SOUND OF A MILLION DREAMS|DAVID NAIL|THE SOUND OF A MILLION DREAMS
002520678507|18408417|HALF MILE HILL|DAVID NAIL|HALF MILE HILL
002520776844|16518132|PIECES OF ME|LEDISI|PIECES OF ME
002520776844|16866142|STAY TOGETHER|LEDISI FEAT. JAHEIM|STAY TOGETHER
002520776844|16866395|BRAVO|LEDISI|BRAVO
002520776967|17841375|TWO SLEEPY PEOPLE|SETH MACFARLANE FEAT. NORAH JONES |TWO SLEEPY PEOPLE
002520776967|17841316|LOVE WON'T LET YOU GET AWAY|SETH MACFARLANE FEAT. SARA BAREILLES |LOVE WON'T LET YOU GET AWAY
002520776967|17841262|MUSIC IS BETTER THAN WORDS|SETH MACFARLANE|MUSIC IS BETTER THAN WORDS
002520875700|14466162|LAY IT DOWN|LLOYD|LAY IT DOWN
002520875700|17237857|DEDICATION TO MY EX |LLOYD|DEDICATION TO MY EX 
002520875700|16185652|CUPID|LLOYD FEAT. AWESOME JONES|CUPID
002520876971|18224691|RED SOLO CUP|TOBY KEITH|RED SOLO CUP
002520876971|17131797|MADE IN AMERICA|TOBY KEITH|MADE IN AMERICA
002520876971|18224670|BEERS AGO|TOBY KEITH|BEERS AGO
002520877323|17059333|LIGHTERS|BAD MEETS EVIL|LIGHTERS
002520877323|16866096|FAST LANE|BAD MEETS EVIL|FAST LANE
002520877323|17059275|ECHO|BAD MEETS EVIL|ECHO
002520878701|17964488|THE KEEPER|CHRIS CORNELL|THE KEEPER
002520878701|8656141|GROUND ZERO|CHRIS CORNELL|GROUND ZERO
002520878701|18486663|LIKE A STONE|CHRIS CORNELL|LIKE A STONE
002520976973|3150476|FRIEND OF MINE|KELLY PRICE|FRIEND OF MINE
002520976973|2410501|AS WE LAY|KELLY PRICE|AS WE LAY
002520976973|2410503|YOU SHOULD'VE TOLD ME|KELLY PRICE|YOU SHOULD'VE TOLD ME
002520978318|18486607|MISTY BLUE|ETTA JAMES|MISTY BLUE
002520978318|18486680|WELCOME TO THE JUNGLE|ETTA JAMES|WELCOME TO THE JUNGLE
002520978318|18486677|GROOVE ME|ETTA JAMES|GROOVE ME
003680280416|17858681|DRUNK OFF YOUR LOVE|SHWAYZE & CISCO FEAT. SKY BLU|DRUNK OFF YOUR LOVE
003680280416|17610080|ISLAND IN THE SUN|SHWAYZE & CISCO|ISLAND IN THE SUN
003680280416|17610079|YOU COULD BE MY GIRL|SHWAYZE & CISCO|YOU COULD BE MY GIRL
004290278145|6955042|THE DAYDREAM|TYCHO|THE DAYDREAM
004290278145|11973410|COASTAL BRAKE|TYCHO|COASTAL BRAKE
004290278145|7761117|ADRIFT|TYCHO|ADRIFT
004870793138|17059241|MAN IN THE MIDDLE|BLACK COUNTRY COMMUNION|MAN IN THE MIDDLE
004870793138|17059215|COLD|BLACK COUNTRY COMMUNION|COLD
004870793138|17059237|SMOKESTACK WOMAN|BLACK COUNTRY COMMUNION|SMOKESTACK WOMAN
007310251602|14821654|KEEP YOUR HEAD UP|ANDY GRAMMER|KEEP YOUR HEAD UP
007310251602|16582900|FINE BY ME|ANDY GRAMMER|FINE BY ME
007310251602|16582736|MISS ME|ANDY GRAMMER|MISS ME
007390266204|17239422|PERFUME|OLD 97'S|PERFUME
007390266204|17239420|BROWN HAIRED DAUGHTER|OLD 97'S|BROWN HAIRED DAUGHTER
007390266204|1380159|IVY|OLD 97'S|IVY
008790248000|16870280|WHAT'S HAPPENIN|WEBBIE FEAT. LIL PHAT|WHAT'S HAPPENIN
008790248000|18408402|BOUNCE THAT|WEBBIE|BOUNCE THAT
008790248000|18408446|RUBBER TONIGHT|WEBBIE|RUBBER TONIGHT
008830254644|3447842|LA PUERTA NEGRA|LOS TIGRES DEL NORTE|LA PUERTA NEGRA
008830254644|1572158|GOLPES EN EL CORAZON|LOS TIGRES DEL NORTE|GOLPES EN EL CORAZON
008830254644|1572133|LA MESA DEL RINCON|LOS TIGRES DEL NORTE|LA MESA DEL RINCON
009990529727|15365026|YESTERDAY|THE BEATLES|YESTERDAY
009990529727|1538516|WHILE MY GUITAR GENTLY WEEPS|THE BEATLES|WHILE MY GUITAR GENTLY WEEPS
009990529727|15365009|SOMETHING|THE BEATLES|SOMETHING
009990596931|14469795|SOLAMENTE TU|PABLO ALBORAN|SOLAMENTE TU
009990596931|15805349|PERDONAME|PABLO ALBORAN|PERDONAME
009990596931|15805348|DESENCUENTRO|PABLO ALBORAN|DESENCUENTRO
011105200206|3378393|SUN GODDESS|RAMSEY LEWIS  & EARTH, WIND & FIRE|SUN GODDESS
011105200206|3345785|LOVE SONG|RAMSEY LEWIS|LOVE SONG
011105200206|3345784|LIVING FOR THE CITY|RAMSEY LEWIS|LIVING FOR THE CITY
011660119113|17499912|SHE WALKS IN SO MANY WAYS|JAYHAWKS|SHE WALKS IN SO MANY WAYS
011660119113|17790022|POURING RAIN AT DAWN|JAYHAWKS|POURING RAIN AT DAWN
011660119113|17789848|HIDE YOUR COLORS|JAYHAWKS|HIDE YOUR COLORS
011660219127|16774876|CAN'T KEEP JOHNNY DOWN|THEY MIGHT BE GIANTS|CAN'T KEEP JOHNNY DOWN
011660219127|17513157|WHEN WILL YOU DIE|THEY MIGHT BE GIANTS|WHEN WILL YOU DIE
011660219127|16774877|CLOISSONÃ©|THEY MIGHT BE GIANTS|CLOISSONÃ©
012420062724|17136171|STILL HERE|0.877083333333333|STILL HERE
012420062724|14405038|INCREDIBLE|0.877083333333333|INCREDIBLE
012420062724|17713664|FAVOR|0.877083333333333|FAVOR
012800003012|2043728|DECK THE HALLS|MANNHEIM STEAMROLLER|DECK THE HALLS
012800003012|2043736|GOD REST YE, MERRY GENTLEMEN|MANNHEIM STEAMROLLER|GOD REST YE, MERRY GENTLEMEN
012800003012|2043737|STILLE NACHT (SILENT NIGHT)|MANNHEIM STEAMROLLER|STILLE NACHT (SILENT NIGHT)
013140000040|1642612|ANGEL FROM MONTGOMERY|JOHN PRINE|ANGEL FROM MONTGOMERY
013140000040|1642611|PARADISE|JOHN PRINE|PARADISE
013140000040|1642617|ILLEGAL SMILE|JOHN PRINE|ILLEGAL SMILE
013700707442|2532742|UNPROTECTED SEX WITH MULTIPLE|AGAINST ME!|UNPROTECTED SEX WITH MULTIPLE
013700707442|2532739|MIAMI|AGAINST ME!|MIAMI
013700707442|2532746|HOW LOW|AGAINST ME!|HOW LOW
014430011116|17599835|WHEN I GET MY WINGS|WILL HOGE|WHEN I GET MY WINGS
014430011116|18037705|TOO OLD TO DIE YOUNG|WILL HOGE|TOO OLD TO DIE YOUNG
014430011116|17980086|FOOL'S GONNA FLY|WILL HOGE|FOOL'S GONNA FLY
014550514943|11198880|GOTTA SERVE SOMEBODY|TOMMY CASTRO|GOTTA SERVE SOMEBODY
014550514943|4855112|PAINKILLER|TOMMY CASTRO|PAINKILLER
014550514943|2077279|VOODOO SPELL|MICHAEL BURKS|VOODOO SPELL
014550514944|8586556|ORANGE BLOSSOMS|JJ GREY  & MOFRO|ORANGE BLOSSOMS
014550514944|8586562|ON FIRE|JJ GREY  & MOFRO|ON FIRE
014550514944|4833288|THE SUN IS SHINING DOWN|JJ GREY  & MOFRO|THE SUN IS SHINING DOWN
014750230153|17063957|BLACKOUT|BREATHE CAROLINA|BLACKOUT
014750230153|20037461|HIT AND RUN|BREATHE CAROLINA|HIT AND RUN
014750230153|17239241|LAST NIGHT (VEGAS)|BREATHE CAROLINA|LAST NIGHT (VEGAS)
015180079250|17189092|I TURN TO YOU|SELAH|I TURN TO YOU
015180079250|17189095|I LOOK TO YOU|SELAH|I LOOK TO YOU
015180079250|16369643|HOPE OF THE BROKEN WORLD|SELAH|HOPE OF THE BROKEN WORLD
015180079251|16594188|SOMEONE WORTH DYING FOR|MIKESCHAIR|SOMEONE WORTH DYING FOR
015180079251|17189102|ALL FOR YOU|MIKESCHAIR|ALL FOR YOU
015180079251|17189100|YOU LOVED ME FIRST|MIKESCHAIR|YOU LOVED ME FIRST
015180079255|16594201|TAKE A BACK ROAD|RODNEY ATKINS|TAKE A BACK ROAD
015180079255|13236492|FARMER'S DAUGHTER|RODNEY ATKINS|FARMER'S DAUGHTER
015180079255|2385459|WATCHING YOU|RODNEY ATKINS|WATCHING YOU
015180279203|90992|BLUE|LEANN RIMES|BLUE
015180279203|13847862|SWINGIN'|LEANN RIMES|SWINGIN'
015180279203|17189084|GIVE|LEANN RIMES|GIVE
015640005189|16996214|SUMMER IN NEW YORK|MICHAEL FRANKS|SUMMER IN NEW YORK
015640005189|16996242|NOW THAT THE SUMMER'S HERE|MICHAEL FRANKS|NOW THAT THE SUMMER'S HERE
015640005189|16996303|SAMBA BLUE|MICHAEL FRANKS|SAMBA BLUE
015640005190|16703935|S7VEN LARGE|EUGE GROOVE|S7VEN LARGE
015640005190|16703911|THE FUNKY BUNCH|EUGE GROOVE|THE FUNKY BUNCH
015640005190|16704051|LOVE WON'T LET ME WAIT|EUGE GROOVE|LOVE WON'T LET ME WAIT
015640005191|18408251|I TRY|MAYSA|I TRY
015640005191|18408196|FLOWER GIRL|MAYSA FEAT. DWELE|FLOWER GIRL
015640005191|18408210|HAVE SWEET DREAMS|MAYSA|HAVE SWEET DREAMS
015640005192|18280806|HEART SEEKER|KIM WATERS|HEART SEEKER
015640005192|18280406|FREE FALL|KIM WATERS|FREE FALL
015640005192|18280295|STAY WITH ME TONIGHT|KIM WATERS|STAY WITH ME TONIGHT
015640005793|17654535|HOW GREAT IS OUR GOD|JUDITH CHRISTIE MCALLISTER|HOW GREAT IS OUR GOD
015640005793|17654486|SOUND THE TRUMPET|JUDITH CHRISTIE MCALLISTER|SOUND THE TRUMPET
015640005793|17654467|WE LOVE YOU JESUS|JUDITH CHRISTIE MCALLISTER|WE LOVE YOU JESUS
015700078151|17320759|BRAND NEW DAY|TREVOR HALL|BRAND NEW DAY
015700078151|17320761|ALL I EVER KNOW|TREVOR HALL|ALL I EVER KNOW
015700078151|17320767|THE MOUNTAIN|TREVOR HALL|THE MOUNTAIN
015700781762|17065757|THE FUTURE WILL DESTROY YOU|VIVA VOCE|THE FUTURE WILL DESTROY YOU
015700781762|17399254|PLASTIC RADIO|VIVA VOCE|PLASTIC RADIO
015700781762|17065754|DIAMOND MINE|VIVA VOCE|DIAMOND MINE
015700799052|16768976|RUN|MATT NATHANSON|RUN
015700799052|16320958|FASTER|MATT NATHANSON|FASTER
015700799052|16768970|MODERN LOVE|MATT NATHANSON|MODERN LOVE
015890140672|11810131|IT'S CHRISTMAS TIME|JOEY + RORY|IT'S CHRISTMAS TIME
015890140672|18162071|LET IT SNOW (SOMEWHERE ELSE)|JOEY + RORY|LET IT SNOW (SOMEWHERE ELSE)
015890140672|18162065|REMEMBER ME|JOEY + RORY|REMEMBER ME
016860217709|18170625|WHEN WE STAND TOGETHER|NICKELBACK|WHEN WE STAND TOGETHER
016860217709|18599567|LULLABY|NICKELBACK|LULLABY
016860217709|18170524|BOTTOMS UP|NICKELBACK|BOTTOMS UP
016860217723|17066013|NEVER LOOKIN' BACK|KENNY WAYNE BAND SHEPHERD|NEVER LOOKIN' BACK
016860217723|17537240|BACKWATER BLUES|KENNY WAYNE BAND SHEPHERD|BACKWATER BLUES
016860217723|17537229|COME ON OVER|KENNY WAYNE BAND SHEPHERD|COME ON OVER
016860217756|17136795|IN WAVES|TRIVIUM|IN WAVES
016860217756|17392946|BLACK|TRIVIUM|BLACK
016860217756|12846435|SHATTERING THE SKIES ABOVE |TRIVIUM|SHATTERING THE SKIES ABOVE 
016890621512|16588424|THE GLOBE|BEN SOLLEE|THE GLOBE
016890621512|16588431|ELECTRIFIED|BEN SOLLEE|ELECTRIFIED
016890621512|16588426|EMBRACE|BEN SOLLEE|EMBRACE
017400006482|18227241|UNTIL I FEEL NOTHING|CARNIFEX|UNTIL I FEEL NOTHING
017400006482|18227238|DEAD BUT DREAMING|CARNIFEX|DEAD BUT DREAMING
017400006482|18227235|DEATHWISH|CARNIFEX|DEATHWISH
017400006492|18231447|VALLEYS|CLOSE YOUR EYES|VALLEYS
017400006492|18231455|HEAVY HEARTS|CLOSE YOUR EYES|HEAVY HEARTS
017400006492|18231445|EMPTY HANDS|CLOSE YOUR EYES|EMPTY HANDS
020280061564|17003004|FOR GROVER AND GEORGE|BOB BALDWIN|FOR GROVER AND GEORGE
020280061564|17003006|ALL OVER YOU|BOB BALDWIN|ALL OVER YOU
020280061564|17003003|GET OVER IT|BOB BALDWIN|GET OVER IT
020280461601|17659734|I'M ALIVE|ANTHRAX|I'M ALIVE
020280461601|17659739|THE DEVIL YOU KNOW|ANTHRAX|THE DEVIL YOU KNOW
020280461601|17467015|FIGHT EM TIL YOU CAN'T|ANTHRAX|FIGHT EM TIL YOU CAN'T
020280461603|17842476|HONKY TONK|JOHNNY WINTER|HONKY TONK
020280461603|17842477|DUST MY BROOM|JOHNNY WINTER|DUST MY BROOM
020280461603|17842469|T-BONE SHUFFLE|JOHNNY WINTER|T-BONE SHUFFLE
020280561602|17396906|DROWN|CAROLINA LIAR|DROWN
020280561602|17776727|ME AND YOU|CAROLINA LIAR|ME AND YOU
020280561602|17776725|MISS AMERICA|CAROLINA LIAR|MISS AMERICA
020280961602|17598013|MICHAEL JACKSON|DAS RACIST|MICHAEL JACKSON
020280961602|17717644|RAINBOW IN THE DARK|DAS RACIST|RAINBOW IN THE DARK
020280961602|17717639|HAPPY RAPPY|DAS RACIST|HAPPY RAPPY
020610528692|16314905|NOT YOUR BIRTHDAY|ALLSTAR WEEKEND|NOT YOUR BIRTHDAY
020610528692|17722209|BLAME IT ON SEPTEMBER|ALLSTAR WEEKEND|BLAME IT ON SEPTEMBER
020610528692|18100674|MR. WONDERFUL|ALLSTAR WEEKEND|MR. WONDERFUL
020611410702|413125|ANOTHER ONE BITES THE DUST|QUEEN|ANOTHER ONE BITES THE DUST
020611410702|413246|CRAZY LITTLE THING CALLED LOVE|QUEEN|CRAZY LITTLE THING CALLED LOVE
020611410702|413244|PLAY THE GAME|QUEEN|PLAY THE GAME
020641585402|2385395|SHERRY|FRANKIE VALLI  & THE FOUR SEASONS|SHERRY
020641585402|3343751|DON'T THINK TWICE, IT'S ALL RI|BOB DYLAN|DON'T THINK TWICE, IT'S ALL RI
020641585402|3375231|JACKSON|JOHNNY CASH|JACKSON
024350027851|2535871|THE PRESENCE OF THE LORD IS HERE|BYRON CAGE|THE PRESENCE OF THE LORD IS HERE
024350027851|5856157|PRAISE IS WHAT I DO|SHEKINAH GLORY MINISTRY|PRAISE IS WHAT I DO
024350027851|3465262|GREAT IS YOUR MERCY|DONNIE MCCLURKIN|GREAT IS YOUR MERCY
024350028525|17970505|ALIVE (MARY MAGDALENE)|NATALIE GRANT|ALIVE (MARY MAGDALENE)
024350028525|17714892|I'M WITH YOU (RUTH & NAOMI)|NICHOLE  NORDEMAN & AMY GRANT|I'M WITH YOU (RUTH & NAOMI)
024350028525|17970502|BE BORN IN ME (MARY)|FRANCESCA BATTISTELLI|BE BORN IN ME (MARY)
